
Broker Begin New Test:Tue Aug 11 18:25:15 MDT 2015

Computing TP,FP,FN for Match All Cols with setting [7, 12, 12, 10, 7]_[7, 4, 4, 5, 7] ExtBiGrams=true

             ColumnsUsed4Match	        Tp	        Fp	        Fn	    TrueMatches
-------------------------------------------------------------------------

               [email, DateOB]	      5982	       346	        18	      6000

                [last, DateOB]	      5554	      6125	       446	      6000

                 [last, email]	      5537	      2420	       463	      6000

         [last, email, DateOB]	      5537	        32	       463	      6000

               [first, DateOB]	      5539	      8041	       461	      6000

                [first, email]	      5521	       295	       479	      6000

        [first, email, DateOB]	      5521	         2	       479	      6000

                 [first, last]	      5129	      3644	       871	      6000

         [first, last, DateOB]	      5129	        50	       871	      6000

          [first, last, email]	      5112	        34	       888	      6000

  [first, last, email, DateOB]	      5112	         0	       888	      6000

                 [ssn, DateOB]	      6000	       136	         0	      6000

                  [ssn, email]	      5982	         2	        18	      6000

          [ssn, email, DateOB]	      5982	         0	        18	      6000

                   [ssn, last]	      5554	        45	       446	      6000

           [ssn, last, DateOB]	      5554	         2	       446	      6000

            [ssn, last, email]	      5537	         0	       463	      6000

    [ssn, last, email, DateOB]	      5537	         0	       463	      6000

                  [ssn, first]	      5539	        74	       461	      6000

          [ssn, first, DateOB]	      5539	         2	       461	      6000

           [ssn, first, email]	      5521	         0	       479	      6000

   [ssn, first, email, DateOB]	      5521	         0	       479	      6000

            [ssn, first, last]	      5129	         0	       871	      6000

    [ssn, first, last, DateOB]	      5129	         0	       871	      6000

     [ssn, first, last, email]	      5112	         0	       888	      6000

[ssn, first, last, email, DateOB]	      5112	         0	       888	      6000
